region,ages,year,population
PA,total,1992,12049450
MN,total,1992,4495572
OH,total,2003,11434788
PA,total,1991,11982164
OH,total,2012,11553031
WI,total,2009,5669264
PA,total,1998,12245672
MD,total,1994,5023060
NE,total,1999,1704764
TX,total,1991,17398005
NC,total,2007,9118037
VT,total,2010,625793
NM,total,2010,2064982
ME,total,2005,1318787
MS,total,2008,2947806
CO,total,2009,4972195
MS,total,1995,2722659
WA,total,2012,6895318
VT,total,1997,597239
ND,total,2001,639062
ND,total,2002,638168
NH,total,1995,1157561
PR,total,2008,3760866
MD,total,2011,5840241
TN,total,2013,6495978
PR,total,1997,NaN
MO,total,2000,5607285
MD,total,1993,4971889
MO,total,1995,5378247
KY,total,1994,3849088
MT,total,1991,809680
KS,total,2012,2885398
AR,total,1996,2572109
TX,total,1998,20157531
NY,total,2009,19307066
WV,total,2008,1840310
ME,total,1990,1231719
NV,total,1995,1581578
TX,total,2002,21690325
MO,total,1994,5324497
UT,total,2013,2900872
NY,total,1992,18246653
PR,total,2011,3686580
AK,total,1994,603308
TN,total,1992,5049742
ND,total,1997,649716
MA,total,2000,6361104
WA,total,1997,5674747
NC,under18,2010,2282288
NV,under18,2008,662621
VT,under18,1998,148467
OH,under18,1998,2896255
DC,under18,2004,109756
MT,under18,1994,237289
GA,under18,1991,1773675
MI,under18,2006,2503548
WV,under18,1997,418037
VT,under18,1996,151490
ID,under18,2010,428961
IL,under18,1994,3110938
DC,under18,2008,102257
HI,under18,2000,295352
TN,under18,1997,1359030
WI,under18,1999,1367019
NH,under18,2001,311877
WV,under18,2001,395307
ME,under18,1990,308066
NM,under18,2008,511214
AZ,under18,1996,1215285
DE,under18,2001,196038
MI,under18,2011,2299116
DC,under18,2006,105651
AL,under18,1998,1118252
IA,under18,1991,724446
RI,under18,2003,248075
VT,under18,2012,124555
IN,under18,1996,1517961
TX,under18,2012,6985807
RI,under18,2000,248065
TX,under18,2013,7041986
IA,under18,1993,727751
IA,under18,2003,720102
MI,under18,1997,2582270
HI,under18,2010,303812
AZ,under18,1995,1173391
NY,under18,2004,4574065
IL,under18,2002,3238362
SC,under18,2005,1036941
VA,under18,2006,1826368
VT,under18,2013,122701
NC,under18,2013,2285605
MN,under18,1996,1252722
MS,under18,2004,760410
MT,under18,2005,221685
MN,under18,1998,1275940
IL,under18,1993,3066541
PR,under18,2008,945705
WY,under18,1998,132602
NE,under18,2007,451946
NJ,under18,1991,1849605
