region,ages,year,population
FL,total,1998,15486559
SC,total,2004,4210921
OK,total,1992,3220517
RI,total,2012,1050304
ME,total,2009,1329590
NE,total,2004,1749370
NC,total,2011,9651377
DC,total,2010,605125
OH,total,2009,11528896
USA,total,1992,256514231
ME,total,2004,1313688
AR,total,2002,2705927
NE,total,2011,1841749
OR,total,1991,2928507
NE,total,2010,1829838
HI,total,2012,1390090
MN,total,2006,5163555
SC,total,2012,4723417
MI,total,2001,9991120
TX,total,1996,19340342
WY,total,1997,489452
NV,total,1991,1296172
VA,total,1992,6414307
TN,total,2002,5795918
OK,total,2007,3634349
NM,total,1990,1521574
NH,total,2006,1308389
IN,total,1992,5674547
MN,total,2008,5247018
MA,total,1998,6271838
WI,total,1997,5266213
RI,total,2003,1071342
ME,total,2000,1277072
DC,total,1998,565232
AR,total,2003,2724816
DC,total,1992,597567
CO,total,1994,3724168
MT,total,2008,976415
HI,total,1992,1158613
WI,total,1994,5133678
WV,total,1999,1811799
RI,total,2005,1067916
WV,total,2001,1801481
NC,total,1993,7042818
TX,total,2001,21319622
WV,total,1997,1819113
MS,total,1990,2578897
FL,total,2002,16689370
ID,total,2005,1428241
OK,under18,2006,894761
TX,under18,1991,5000793
UT,under18,2011,881350
WA,under18,1999,1507824
WY,under18,1995,136785
AR,under18,1991,626212
DC,under18,2005,107187
AL,under18,2003,1113083
PA,under18,2009,2804929
MO,under18,2013,1397685
FL,under18,2000,3654880
NE,under18,2011,460872
CO,under18,2010,1226619
IL,under18,2008,3153401
NJ,under18,1998,2042080
MD,under18,2006,1377756
MT,under18,2006,221930
NY,under18,2003,4619506
NH,under18,1992,286314
WV,under18,1994,429128
MT,under18,1998,231746
MD,under18,2001,1366552
LA,under18,2012,1114620
OK,under18,2001,885218
KS,under18,1993,687262
ME,under18,2009,277946
CT,under18,2010,814187
WA,under18,2009,1574403
CO,under18,2006,1171832
OR,under18,1999,843484
DE,under18,1996,184021
ND,under18,1999,163056
WY,under18,1994,137733
DC,under18,2002,113822
AK,under18,1992,184878
TX,under18,2004,6208259
MI,under18,1995,2556799
WY,under18,2000,128774
PR,under18,1991,NaN
TN,under18,2004,1433343
MA,under18,2008,1429727
MA,under18,1994,1437069
USA,under18,2001,72671175
MT,under18,1997,232813
IA,under18,2000,733337
WV,under18,2009,389036
DE,under18,2009,206213
MI,under18,2004,2553314
WI,under18,2003,1358505
NY,under18,1995,4648419
MA,under18,2007,1439757
