region,ages,year,population
WV,total,1994,1820421
ME,total,1995,1243481
NJ,total,1993,7948915
MN,total,2000,4933692
USA,total,1998,275854116
AZ,total,2011,6468796
OR,total,2002,3513424
PR,total,2007,3782995
ID,total,2003,1363380
NM,total,2003,1877574
RI,total,1995,1017002
IA,total,1996,2880001
USA,total,2010,309326295
VA,total,1995,6670693
DE,total,2013,925749
CO,total,2007,4803868
WV,total,1990,1792548
HI,total,2010,1363731
IL,total,2004,12589773
PR,total,1991,NaN
IL,total,2010,12839695
LA,total,2006,4302665
IN,total,2001,6127760
TN,total,1991,4966587
OR,total,2010,3837208
LA,total,2002,4497267
NV,total,2001,2098399
ME,total,2006,1323619
FL,total,1993,13927185
TX,total,2008,24309039
GA,total,1996,7501069
CA,total,2003,35253159
AZ,total,1993,4065440
MN,total,2003,5053572
TX,total,1999,20558220
NV,total,2012,2754354
CT,total,2001,3432835
USA,total,2011,311582564
CA,total,2004,35574576
NM,total,2000,1821204
MO,total,2010,5996063
NC,total,1990,6664016
FL,total,2008,18527305
NJ,total,2000,8430621
ME,total,2008,1330509
IA,total,1998,2902872
NM,total,2002,1855309
WA,total,2009,6667426
MI,total,1991,9400446
KY,under18,1997,1002609
PA,under18,2004,2873125
AK,under18,1990,177502
MI,under18,2013,2245201
NV,under18,2009,666041
WI,under18,2010,1336094
IA,under18,2010,727717
AK,under18,2001,188771
IA,under18,1999,732671
IA,under18,2002,723685
IN,under18,2013,1586027
HI,under18,1990,279983
WA,under18,1990,1301545
CA,under18,2003,9404594
NH,under18,1991,281127
PA,under18,1991,2830059
TX,under18,2001,5980187
AR,under18,1997,680203
MD,under18,2012,1346235
NM,under18,1995,504558
ND,under18,1990,170920
NJ,under18,1995,1997187
MA,under18,1995,1453489
HI,under18,2007,300207
ID,under18,2013,427781
USA,under18,1992,66509177
MD,under18,1995,1300695
NM,under18,2004,501184
SC,under18,2009,1079729
AL,under18,2001,1120409
PA,under18,2011,2761343
OK,under18,1992,862548
TX,under18,1999,5840211
DC,under18,2000,114503
MT,under18,2012,222905
OR,under18,1994,793435
NE,under18,2004,448360
WY,under18,1992,137308
IA,under18,1998,729943
WV,under18,1990,436797
FL,under18,2012,4012421
MT,under18,1992,230868
IA,under18,2004,718708
CA,under18,2006,9370884
TN,under18,2008,1494354
DE,under18,1993,176916
ND,under18,2003,150406
CO,under18,1990,881640
KY,under18,2013,1014004
ME,under18,1995,309173
HI,under18,2003,294519
