region,ages,year,population
MI,total,2012,9882519
SD,total,1997,744223
PA,total,2012,12764475
CA,total,2012,37999878
AK,total,2012,730307
VT,total,2004,619920
DE,total,1996,740978
NH,total,2003,1279840
WI,total,2011,5708785
RI,total,1999,1040402
SC,total,2001,4064995
UT,total,2001,2283715
NJ,total,2010,8802707
AL,total,1996,4331103
ND,total,1995,647832
WI,total,1992,5025398
CO,total,2012,5189458
DE,total,2002,806169
MT,total,1998,892431
IN,total,2000,6091866
ND,total,2007,652822
WV,total,2012,1856680
VT,total,2012,625953
ND,total,1999,644259
IN,total,1995,5851459
ID,total,2008,1534320
MI,total,1990,9311319
AK,total,2004,659286
USA,total,2003,290107933
PA,total,2011,12741310
NJ,total,2004,8634561
VT,total,1991,568606
MD,total,2005,5592379
KS,total,1992,2532395
SD,total,2005,775493
OK,total,1990,3148825
USA,total,2012,313873685
GA,total,2006,9155813
NC,total,2003,8422501
NM,total,1996,1752326
NE,total,1994,1639041
UT,total,2011,2814784
AK,total,1995,604412
RI,total,2010,1052669
KS,total,2007,2783785
KS,total,2005,2745299
DE,total,1992,694927
OH,total,2013,11570808
HI,total,2005,1292729
TX,total,1995,18958751
MS,total,1996,2748085
CA,total,1994,31484435
DE,under18,2000,194914
USA,under18,2005,73523669
SD,under18,1995,207890
USA,under18,2007,74019405
MI,under18,2003,2569080
NV,under18,1995,396223
TX,under18,2005,6290970
MN,under18,1997,1264250
CT,under18,1991,766304
ND,under18,2001,156113
TN,under18,1990,1220200
LA,under18,2013,1112957
ME,under18,2003,296786
AZ,under18,2008,1628651
ND,under18,1997,167475
WV,under18,2007,390661
NH,under18,2013,271122
HI,under18,1991,287871
IA,under18,1995,726961
IN,under18,2007,1609494
IN,under18,2000,1574989
USA,under18,2008,74104602
FL,under18,2007,4031098
OH,under18,1996,2883443
NE,under18,1993,439313
MA,under18,1996,1468614
IA,under18,1990,719366
GA,under18,2009,2485781
GA,under18,2001,2215390
KS,under18,1999,713022
KS,under18,2010,727729
TX,under18,1996,5551447
WY,under18,1997,134328
SC,under18,1997,1001681
HI,under18,2006,299313
VA,under18,1993,1604758
CO,under18,2000,1106676
PA,under18,2008,2821004
KY,under18,2009,1021710
AL,under18,1993,1085606
OR,under18,1990,742436
SD,under18,2008,199848
NJ,under18,1996,2016502
AZ,under18,1999,1332396
UT,under18,2008,837258
VT,under18,1993,148705
VT,under18,2005,138933
VT,under18,2001,146040
