region,ages,year,population
DC,total,1990,605321
MA,total,1990,6022639
MO,total,2012,6024522
NJ,total,2007,8677885
OR,total,2008,3768748
CO,total,1992,3495939
WA,total,1991,5025624
AK,total,1998,619933
WY,total,2008,546043
WV,total,2011,1855184
RI,total,2006,1063096
MI,total,2009,9901591
IL,total,2007,12695866
IN,total,1990,5557798
VA,total,1993,6509630
MN,total,1995,4660180
WI,total,1995,5184836
NH,total,1999,1222015
WV,total,2003,1812295
CO,total,2006,4720423
KS,total,2002,2713535
MA,total,2007,6431559
IL,total,2000,12434161
IA,total,2000,2929067
MA,total,1997,6226058
VA,total,2007,7751000
MS,total,2002,2858681
IA,total,2008,3016734
TX,total,2007,23831983
VT,total,2009,624817
NC,total,2008,9309449
MD,total,2010,5787193
NY,total,2005,19132610
WV,total,2006,1827912
NC,total,1994,7187398
NY,total,2000,19001780
SD,total,2010,816211
SD,total,1991,703669
KS,total,1999,2678338
WV,total,1993,1817539
NH,total,1991,1109929
KY,total,1996,3919536
MT,total,2005,940102
MN,total,1991,4440859
AZ,total,1994,4245089
MT,total,1999,897508
VT,total,1992,572751
OR,total,2000,3429708
IA,total,2004,2953635
MS,under18,1995,767892
VA,under18,2000,1741420
KS,under18,2007,711005
SD,under18,1993,207975
MN,under18,2005,1280557
USA,under18,1998,71431406
LA,under18,1995,1250112
IL,under18,2005,3197318
DE,under18,1995,181736
LA,under18,1993,1239161
CT,under18,1995,808623
USA,under18,1991,65313018
NJ,under18,1994,1968232
MI,under18,2000,2596114
AZ,under18,1993,1094233
AZ,under18,2004,1484454
FL,under18,1991,3045638
CO,under18,2002,1138273
PR,under18,2003,1050615
NM,under18,1992,473176
NM,under18,2006,505125
KY,under18,1992,963861
USA,under18,1996,70233512
OR,under18,2010,865129
MS,under18,1994,763795
NY,under18,2005,4514456
AR,under18,2002,678798
IN,under18,1998,1551960
MD,under18,2011,1348766
SC,under18,1990,921041
AK,under18,1995,184990
OR,under18,2000,847511
NC,under18,2000,1967626
CA,under18,1997,9135359
ID,under18,2003,379241
USA,under18,2010,74119556
FL,under18,1997,3502269
USA,under18,2006,73757714
IL,under18,2004,3211599
CO,under18,1994,966412
VA,under18,1990,1520670
MT,under18,2000,230067
FL,under18,1993,3214066
WI,under18,1995,1351343
SD,under18,2006,197332
AK,under18,1996,185360
AL,under18,1991,1060794
NM,under18,2011,516513
IN,under18,2004,1586281
VT,under18,2000,147549
DC,under18,1999,115003
