region,ages,year,population
WV,total,2004,1816438
AZ,total,1991,3788576
NC,total,1991,6784280
IA,total,2006,2982644
AZ,total,2009,6343154
AL,total,1991,4099156
NV,total,2003,2248850
HI,total,2009,1346717
IA,total,2010,3050314
LA,total,1997,4421072
NY,total,1996,18588460
NV,total,2009,2684665
AK,total,2001,633714
WI,total,2004,5514026
MD,total,2008,5684965
TN,total,1998,5570045
WY,total,2001,494657
LA,total,1998,4440344
IL,total,1994,11912585
WI,total,1996,5229986
CT,total,1999,3386401
WV,total,2000,1807021
ME,total,2007,1327040
MA,total,2003,6422565
IA,total,1991,2797613
SD,total,1994,730790
VT,total,1990,564798
GA,total,2000,8227303
WI,total,2007,5610775
MI,total,2000,9952450
UT,total,2002,2324815
AK,total,1992,588736
OH,total,2001,11387404
AL,total,2009,4757938
WY,total,2010,564222
MO,total,1999,5561948
WY,total,1999,491780
MO,total,2002,5674825
IL,total,2013,12882135
SC,total,1997,3859696
WY,total,2004,509106
WI,total,1990,4904562
FL,total,1999,15759421
AK,total,1990,553290
FL,total,1992,13650553
SC,total,1999,3974682
ID,total,2013,1612136
AK,total,2011,723375
AR,total,2000,2678588
SC,total,2007,4444110
MO,total,2011,6010065
IA,total,1994,2850746
MO,total,2006,5842704
VT,total,1998,600416
DC,under18,2009,102098
IN,under18,2005,1593898
VA,under18,1992,1581544
GA,under18,2008,2479097
ME,under18,2008,282204
FL,under18,1998,3557561
VA,under18,1996,1664147
PA,under18,2001,2905836
NV,under18,2004,591314
NE,under18,2006,450098
SD,under18,2002,198694
NE,under18,1995,444418
ID,under18,1994,344242
PA,under18,1997,2942240
NJ,under18,2012,2035106
NY,under18,2007,4410949
IA,under18,1996,729177
OH,under18,2005,2819794
TN,under18,1999,1385997
USA,under18,2011,73902222
IN,under18,2008,1611494
NY,under18,1991,4372727
NY,under18,2009,4342926
VT,under18,1991,145219
NM,under18,2002,502779
AZ,under18,1994,1119857
NJ,under18,2011,2049453
RI,under18,2009,225902
NM,under18,1990,453538
PR,under18,1996,NaN
NV,under18,1994,376745
ID,under18,2008,422347
MT,under18,2004,221999
FL,under18,2002,3774624
MA,under18,2003,1493372
CO,under18,1996,1003946
ME,under18,2012,264846
AR,under18,2008,705725
AK,under18,2003,186843
NE,under18,2013,464348
OR,under18,1996,816102
RI,under18,2007,233655
FL,under18,1995,3366468
PR,under18,2012,841740
HI,under18,2005,298497
NV,under18,2012,659655
