region,ages,year,population
OH,total,2002,11407889
SD,total,1993,722160
MI,total,2003,10041152
SC,total,2005,4270150
WI,total,2001,5406835
AK,total,2013,735132
UT,total,2007,2597746
NE,total,2003,1738643
ID,total,2012,1595590
MI,total,2013,9895622
FL,total,2013,19552860
DC,total,2005,567136
TX,total,2012,26060796
WI,total,1999,5332666
OR,total,2003,3547376
KS,total,1991,2498722
RI,total,2007,1057315
OR,total,2013,3930065
PA,total,2000,12284173
CA,total,1993,31274928
WY,total,2002,500017
NC,total,2013,9848060
TN,total,1995,5326936
DC,total,2006,570681
MD,total,2003,5496269
CT,total,2008,3545579
CT,total,1998,3365352
KY,total,2002,4089875
VA,total,1998,6900918
RI,total,2013,1051511
GA,total,2010,9713248
WV,total,2007,1834052
IL,total,1999,12359020
GA,total,2012,9915646
AL,total,2012,4817528
FL,total,1994,14239444
NC,total,1997,7656825
PR,total,1998,NaN
MD,total,1996,5111986
MT,total,1994,861306
SC,total,2011,4673509
ID,total,2009,1554439
NJ,total,1994,8014306
HI,total,2000,1213519
UT,total,1991,1779780
ME,total,2002,1295960
RI,total,1990,1005995
OR,total,1999,3393941
NJ,total,1995,8083242
SD,total,1998,746059
PA,total,1997,12227814
WV,total,2013,1854304
LA,total,2009,4491648
NM,total,2006,1962137
RI,total,1991,1010649
IL,under18,1999,3240034
MS,under18,1999,775662
MI,under18,2008,2418879
TN,under18,2011,1491837
PR,under18,2009,920794
KY,under18,2000,994984
MA,under18,2002,1502652
USA,under18,1999,71946051
WY,under18,2010,135351
IL,under18,1996,3192916
OK,under18,1998,898501
IN,under18,2006,1603107
SD,under18,1992,206632
WI,under18,2001,1367593
MI,under18,1998,2586343
MI,under18,2005,2531839
OK,under18,1999,895678
OK,under18,1990,841715
NE,under18,2002,447714
GA,under18,1993,1865021
AZ,under18,1997,1237159
AR,under18,2011,710576
DE,under18,1990,165628
OH,under18,2011,2693469
HI,under18,1994,307517
HI,under18,2008,301094
OK,under18,1991,849639
IL,under18,2009,3138406
GA,under18,2000,2176576
NH,under18,1995,298246
TN,under18,1996,1345723
GA,under18,1994,1906539
MI,under18,2001,2593310
GA,under18,1998,2078998
IN,under18,2012,1589655
NC,under18,2005,2122485
IN,under18,2009,1609704
MO,under18,1993,1365903
OK,under18,2007,904328
MN,under18,2012,1278050
AR,under18,2000,680378
KY,under18,1999,996382
NY,under18,1994,4605284
ID,under18,2002,375986
SC,under18,2007,1064190
