region,ages,year,population
IL,total,2006,12643955
TN,total,2008,6247411
IN,total,1997,5955267
NE,total,1998,1695817
NH,total,2010,1316614
LA,total,2000,4471885
NV,total,1997,1764104
WY,total,1996,488167
TX,total,1992,17759738
RI,total,2001,1057142
AR,total,1993,2456303
SD,total,1995,737926
MT,total,2004,930009
ID,total,1996,1203083
DC,total,2001,574504
WA,total,2011,6821481
FL,total,2000,16047515
USA,total,2001,284968955
AK,total,2010,713868
CT,total,2003,3484336
DE,total,2005,845150
AL,total,2005,4569805
IL,total,1993,11809579
IN,total,2007,6379599
UT,total,1999,2203482
MD,total,2001,5374691
CO,total,2000,4326921
PA,total,2009,12666858
TN,total,2005,5991057
WI,total,2006,5577655
DE,total,1997,751487
MN,total,2004,5087713
KS,total,2011,2869548
ME,total,1996,1249060
WA,total,2007,6461587
CO,total,1999,4226018
NJ,total,2013,8899339
LA,total,2010,4545392
DE,total,2000,786373
WY,total,1998,490787
TN,total,2001,5750789
FL,total,1995,14537875
NY,total,2012,19576125
ND,total,2010,674344
TN,total,2009,6306019
HI,total,2007,1315675
MI,total,1993,9540114
WI,total,2003,5479203
NY,total,2004,19171567
AL,under18,2007,1132296
WY,under18,2007,128760
NJ,under18,2004,2129051
NH,under18,1996,300161
ND,under18,2008,147462
KY,under18,1993,971134
CA,under18,1994,8790058
AK,under18,2000,190615
TN,under18,1991,1233260
MO,under18,1991,1332306
MS,under18,2009,758539
CA,under18,1999,9207878
AZ,under18,2000,1373414
SC,under18,1994,969766
NJ,under18,2001,2102838
TX,under18,1993,5217899
DC,under18,2011,103906
MA,under18,2001,1505028
ND,under18,1991,171730
LA,under18,2008,1108728
UT,under18,1990,627122
WI,under18,2011,1325870
CO,under18,1999,1083938
CO,under18,2012,1232864
PR,under18,2011,869327
VA,under18,2013,1864535
CA,under18,2009,9294501
CO,under18,2004,1146369
NE,under18,1990,430068
OK,under18,2004,881606
HI,under18,2001,294133
TN,under18,2010,1495090
IA,under18,2009,726969
WA,under18,1992,1365480
KY,under18,1990,945951
IL,under18,2013,3023307
IL,under18,2001,3243617
MA,under18,1990,1353806
NM,under18,1999,511135
LA,under18,1990,1205984
NV,under18,1998,469424
CT,under18,2007,833484
WA,under18,1997,1473646
GA,under18,2010,2490884
AL,under18,2006,1126798
TX,under18,1997,5655482
NH,under18,1997,302834
MO,under18,2003,1421927
MS,under18,2000,774353
LA,under18,2007,1096642
PR,under18,2013,814068
