region,ages,year,population
LA,total,2003,4521042
WY,total,2009,559851
UT,total,2006,2525507
AL,total,1998,4404701
NV,total,1999,1934718
WY,total,2012,576626
DE,total,2001,795699
MN,total,2013,5420380
CT,total,1991,3302895
USA,total,2002,287625193
TX,total,2000,20944499
ID,total,1995,1177322
MD,total,2009,5730388
SC,total,2009,4589872
NH,total,2005,1298492
VA,total,2000,7105817
IL,total,2008,12747038
WY,total,1990,453690
AL,total,1990,4050055
AK,total,2008,687455
OR,total,1997,3304310
VT,total,2000,609618
MI,total,1999,9897116
MO,total,2001,5641142
HI,total,1994,1187536
IA,total,2003,2941999
AR,total,2008,2874554
RI,total,1993,1015113
AZ,total,2006,6029141
SC,total,1994,3705397
IN,total,1998,5998881
PR,total,1990,NaN
MS,total,1992,2623734
OK,total,1994,3280940
SD,total,2003,763729
KY,total,1990,3694048
OR,total,1998,3352449
TX,total,1997,19740317
AZ,total,2013,6626624
ME,total,1997,1254774
LA,total,2007,4375581
MA,total,1995,6141445
AL,total,1995,4296800
CA,total,1995,31696582
NH,total,2011,1318075
IN,total,1999,6044970
KS,under18,2006,705277
OH,under18,1991,2806959
WY,under18,2005,124022
PA,under18,1998,2940285
MO,under18,1998,1428999
WI,under18,1994,1348110
MS,under18,2011,747742
MO,under18,2010,1424042
VA,under18,2005,1816270
MS,under18,1997,774832
RI,under18,1992,232630
ID,under18,2012,427177
NE,under18,2009,456543
ID,under18,2004,384692
OR,under18,2003,850251
ND,under18,1994,172160
OR,under18,1993,778973
NE,under18,2005,448918
IN,under18,1991,1450759
TX,under18,2003,6132980
UT,under18,2000,721686
OH,under18,2012,2668125
AL,under18,2012,1117489
WY,under18,2013,137679
SD,under18,2012,205298
IA,under18,2005,718488
KY,under18,1998,997296
NJ,under18,2002,2116591
CO,under18,1993,947806
KS,under18,2005,704689
WY,under18,2011,135407
WI,under18,1990,1302869
MT,under18,2013,223981
AL,under18,1995,1110553
CA,under18,1992,8439647
DC,under18,1996,121210
ID,under18,1997,357779
OR,under18,2006,857003
WV,under18,1998,412793
MS,under18,1992,750224
MO,under18,2007,1431346
IN,under18,1990,1437209
ME,under18,1992,310679
ND,under18,1996,169257
MD,under18,1999,1348659
OR,under18,2002,850733
CA,under18,1998,9163238
AR,under18,2001,679606
CO,under18,2007,1189434
CO,under18,2009,1217213
NJ,under18,2007,2091023
AZ,under18,2011,1616353
AZ,under18,1991,1028285
AR,under18,2004,683166
