region,ages,year,population
MO,total,2008,5923916
CT,total,1997,3349348
MI,total,1996,9758645
ND,total,2009,664968
WY,total,2003,503453
VA,total,2008,7833496
IA,total,2002,2934234
SC,total,1995,3748582
MN,total,1996,4712827
MO,total,1990,5128880
OK,total,2002,3489080
OK,total,1996,3340129
AK,total,2002,642337
MS,total,2007,2928350
USA,total,1990,249622814
MS,total,2011,2977886
CT,total,1995,3324144
NH,total,2004,1290121
AL,total,2001,4467634
KY,under18,2001,994105
TX,under18,2008,6675917
WA,under18,1998,1494784
MS,under18,2013,737432
ID,under18,1999,366689
MS,under18,2012,742941
PR,under18,1992,NaN
MI,under18,2012,2269365
WA,under18,2011,1584709
DC,under18,1995,123620
NV,under18,1990,316406
OK,under18,1993,870137
NJ,under18,2008,2076366
AZ,under18,2013,1616814
TN,under18,2009,1494687
ND,under18,2010,150179
MN,under18,1995,1245932
LA,under18,1994,1247631
AK,under18,2007,184344
MA,under18,1992,1390188
TX,under18,2007,6565872
IN,under18,1999,1566079
OR,under18,2012,859910
FL,under18,2004,3890734
AK,under18,1991,182180
