region,ages,year,population
NH,total,1990,1112384
AZ,total,2008,6280362
CO,total,1993,3613734
WV,total,1991,1798735
GA,total,1995,7328413
USA,total,1999,279040181
NM,total,2009,2036802
NH,total,2000,1239882
WA,total,1994,5375161
AL,total,2007,4672840
MS,total,2005,2905943
MA,total,2013,6692824
VA,total,2004,7475575
FL,total,2010,18846054
OR,total,1992,2991755
WA,total,1998,5769562
NY,total,1998,18755906
SC,total,1996,3796200
AR,total,1991,2383144
OK,total,1991,3175440
CT,total,1993,3309175
PA,total,2003,12374658
SC,total,1993,3663314
WI,total,2000,5373999
NY,total,2010,19398228
AR,total,2011,2938506
AR,total,2006,2821761
OH,total,2010,11545435
OH,total,2004,11452251
NV,total,2011,2717951
SD,total,2000,755844
VT,total,2011,626320
MI,total,1995,9676211
IA,total,1995,2867373
HI,total,2002,1239613
DC,total,2008,580236
MD,total,1991,4867641
IN,total,2009,6459325
UT,total,2003,2360137
RI,total,2009,1053646
UT,total,2000,2244502
CA,total,1990,29959515
PR,total,2002,3823701
LA,total,1999,4460811
TN,total,2007,6175727
NV,total,1993,1411215
ND,total,2008,657569
NV,total,2000,2018741
NE,total,1991,1595919
IA,total,1990,2781018
ID,total,2000,1299430
MD,under18,2004,1383450
MD,under18,2003,1379641
NV,under18,2013,661605
CO,under18,2005,1156399
RI,under18,1999,247014
MS,under18,1993,755820
PA,under18,2005,2859793
AR,under18,2010,711947
DE,under18,1994,180833
OH,under18,1990,2778491
AZ,under18,2002,1427938
WV,under18,2010,387224
VA,under18,2003,1782254
WA,under18,1995,1429397
SC,under18,2008,1074116
NC,under18,1999,1932141
FL,under18,2005,3968178
TX,under18,1995,5421784
NY,under18,2006,4457777
WV,under18,2012,384030
NE,under18,1992,436378
VT,under18,2004,141068
HI,under18,2004,298103
RI,under18,2004,246228
AK,under18,2009,186351
PA,under18,2007,2839574
AR,under18,1996,677912
WI,under18,1992,1330555
FL,under18,1999,3611711
WI,under18,1996,1352877
NC,under18,2004,2085165
VA,under18,2001,1754549
MN,under18,1993,1226723
FL,under18,2008,4018372
MO,under18,1990,1316423
SC,under18,1993,956951
VT,under18,1990,143296
OK,under18,1995,883667
GA,under18,1995,1949818
UT,under18,2009,857853
USA,under18,2000,72376189
LA,under18,1991,1222330
AR,under18,2003,679579
NH,under18,2003,311412
VA,under18,1999,1723125
CA,under18,2012,9209007
CT,under18,2003,851115
NE,under18,1997,450076
PA,under18,2006,2850778
