region,ages,year,population
WI,total,2010,5689060
OR,total,2009,3808600
OR,total,2012,3899801
IA,total,2009,3032870
MA,total,1996,6179756
OK,total,2000,3454365
GA,total,1990,6512602
WA,total,1995,5481027
MD,total,1995,5070033
SC,total,1992,3620464
KY,total,2010,4347698
MD,total,2007,5653408
KS,total,1994,2580513
TX,total,2005,22778123
GA,total,2005,8925922
WA,total,1992,5160757
VA,total,1994,6593139
VA,total,2013,8260405
MA,total,2010,6563263
NC,total,2001,8210122
SD,total,1996,742214
NH,total,1998,1205941
IA,total,2001,2931997
IA,total,1993,2836972
FL,total,1991,13369798
NM,total,1997,1774839
UT,total,1990,1731223
MT,total,2001,906961
DC,total,1994,589240
OH,total,2011,11549772
NY,total,1993,18374954
SC,total,2006,4357847
USA,total,1994,263125826
OH,total,1991,10945762
IN,total,1994,5793526
AZ,total,2012,6551149
NJ,total,1997,8218808
DE,total,2011,907985
IN,total,2003,6196638
SC,total,2002,4107795
OK,total,1997,3372918
NE,total,1996,1673740
UT,total,1992,1836799
ND,total,2011,684867
MA,total,1993,6060569
SD,total,2008,799124
OH,total,2008,11515391
HI,total,2008,1332213
IA,total,1997,2891119
AL,total,2013,4833722
DE,total,2006,859268
NV,total,2002,2173791
WI,total,1991,4964343
OH,total,1996,11242827
HI,total,2011,1376897
ND,total,1996,650382
SD,total,2012,834047
AL,total,2010,4785570
DC,under18,2013,111474
ID,under18,1996,353824
IA,under18,2008,725658
NJ,under18,2000,2088885
MA,under18,2009,1422935
TX,under18,2009,6792907
PR,under18,1998,NaN
ID,under18,2007,415024
SC,under18,2003,1023785
NV,under18,1993,354990
DE,under18,1999,192510
CO,under18,2011,1230178
IN,under18,2002,1580814
LA,under18,2001,1204187
TN,under18,1995,1331616
ME,under18,1993,310966
MD,under18,2007,1369563
AZ,under18,1998,1285794
PA,under18,2002,2894935
NC,under18,1996,1821506
MA,under18,2012,1399417
OK,under18,1997,893835
UT,under18,2004,751771
SD,under18,2011,203948
DE,under18,1997,186607
DE,under18,2011,204801
AL,under18,2000,1122273
IL,under18,2007,3170134
LA,under18,2009,1114228
CO,under18,2008,1203289
DE,under18,2004,199631
ME,under18,1996,307740
SD,under18,1996,205780
RI,under18,1995,240553
ID,under18,1991,316732
OR,under18,2007,862161
WV,under18,2000,401062
RI,under18,2005,241932
ID,under18,2005,394651
PR,under18,2004,1035919
NJ,under18,2009,2068684
MN,under18,1991,1191207
