region,ages,year,population
GA,total,2004,8769252
DC,total,2007,574404
WY,total,2013,582658
WA,total,2008,6562231
HI,total,1996,1203755
PR,total,1999,NaN
AL,total,1999,4430141
NY,total,2002,19137800
NE,total,2009,1812683
MA,total,2004,6412281
CA,total,2007,36250311
NY,total,1997,18656546
VT,total,2002,615442
WI,total,2008,5640996
ID,total,1991,1041316
FL,total,1996,14853360
NY,total,1991,18122510
IN,total,2008,6424806
WY,total,2011,567329
TN,total,1997,5499233
WV,total,1992,1806451
CT,total,1996,3336685
NV,total,1994,1499298
SD,total,2007,791623
WY,total,1992,466251
NH,total,2007,1312540
NM,total,1991,1555305
RI,total,2002,1065995
NV,total,2010,2703230
KS,total,1998,2660598
AL,total,2011,4801627
IN,total,1991,5616388
CO,total,2002,4490406
NH,total,1992,1117785
MO,total,2004,5747741
GA,total,1991,6653005
IN,total,2012,6537782
GA,total,2007,9349988
ID,total,2007,1505105
MN,total,1993,4555956
MS,total,2010,2970047
GA,total,2009,9620846
PA,total,2005,12449990
MS,total,2003,2868312
PA,total,1996,12220464
MA,total,1994,6095241
NM,total,2013,2085287
VA,total,2005,7577105
NC,total,2004,8553152
AZ,total,1995,4432499
MN,total,2005,5119598
SC,under18,1996,987576
NC,under18,2003,2060838
AK,under18,2004,186335
IN,under18,2010,1605883
DE,under18,1992,174166
DE,under18,1998,189302
CT,under18,1998,824600
NY,under18,2008,4372170
OK,under18,2000,891847
MT,under18,2002,224772
ID,under18,2006,404753
WV,under18,2004,391856
LA,under18,2004,1182731
NH,under18,1990,277454
IL,under18,1990,2940837
FL,under18,2009,3997283
TX,under18,2006,6446798
TX,under18,1994,5331524
MO,under18,1997,1419837
UT,under18,2013,896589
IL,under18,2003,3225547
ME,under18,1997,305097
AK,under18,2008,183124
AR,under18,2012,710471
GA,under18,1999,2130698
VA,under18,2004,1801958
AK,under18,2012,188162
AK,under18,1998,192636
HI,under18,1999,299680
FL,under18,2003,3820876
NC,under18,2007,2219168
DC,under18,1990,112632
ID,under18,2000,370430
AZ,under18,1990,1006040
NH,under18,1998,307292
MT,under18,2010,223292
KY,under18,1995,984486
FL,under18,2010,3999532
PR,under18,1990,NaN
MT,under18,2001,227118
MT,under18,2003,223012
MO,under18,2000,1428383
RI,under18,1991,229448
AK,under18,2006,185580
HI,under18,1993,301473
OH,under18,2009,2748051
MT,under18,1990,223677
OK,under18,2011,935714
DE,under18,2006,203729
