region,ages,year,population
HI,total,2001,1225948
TN,total,2011,6398361
PR,total,2013,3615086
PR,total,2005,3821362
PR,total,1993,NaN
AK,total,2003,648414
HI,total,2006,1309731
NY,total,2006,19104631
GA,total,1994,7157165
MO,total,2003,5709403
MT,total,1996,886254
NY,total,2008,19212436
ME,total,1999,1266808
DC,total,1996,572379
WY,total,2005,514157
MT,total,1993,844761
HI,total,1995,1196854
AR,total,1990,2356586
KY,total,2003,4117170
CA,total,2013,38332521
NH,total,2009,1316102
MD,total,1990,4799770
ND,total,1998,647532
TN,total,1993,5137584
KY,total,1999,4018053
CO,total,2005,4631888
NV,total,2008,2653630
USA,total,1991,252980942
OR,total,2001,3467937
OK,total,2012,3815780
PA,total,2002,12331031
MD,total,2004,5546935
VT,total,1999,604683
AZ,total,1996,4586940
DC,total,2000,572046
ME,total,2003,1306513
DE,total,2003,818003
AZ,total,2003,5510364
IL,total,2012,12868192
LA,total,2005,4576628
WY,total,2000,494300
MI,total,2008,9946889
HI,total,1991,1136754
RI,total,1996,1020893
TX,total,2004,22394023
VT,total,2007,623481
AL,total,2000,4452173
LA,total,1990,4221532
MN,under18,2007,1285074
ID,under18,1990,313373
VT,under18,1994,150794
MI,under18,1999,2591944
OR,under18,2013,857606
WI,under18,2000,1370440
NJ,under18,2013,2022117
IN,under18,1992,1461650
IL,under18,2011,3089833
CO,under18,1995,984310
TN,under18,1993,1285044
UT,under18,2001,726819
WV,under18,1999,406784
NE,under18,1999,451047
WV,under18,1992,433116
ID,under18,2001,373145
FL,under18,2013,4026674
ME,under18,2001,300088
RI,under18,1996,240569
CT,under18,2006,839372
TX,under18,1990,4906220
AL,under18,1992,1072873
HI,under18,1998,304576
MS,under18,2006,756990
WY,under18,2001,126212
PA,under18,2003,2883270
NM,under18,2010,518763
UT,under18,1995,679636
OK,under18,2003,883959
AZ,under18,2005,1529168
OH,under18,2008,2768968
WA,under18,2000,1516361
SC,under18,2006,1050042
MD,under18,1996,1303816
LA,under18,2005,1177954
NY,under18,2001,4672425
IA,under18,2012,723917
MN,under18,2004,1281946
MT,under18,1999,231133
SD,under18,2010,203145
NV,under18,2007,654053
NC,under18,1991,1640394
CA,under18,2007,9335620
RI,under18,1998,241760
IA,under18,2011,725522
CA,under18,2004,9418497
WI,under18,1993,1337334
CT,under18,1994,801231
AZ,under18,2007,1607895
WY,under18,1996,135698
VA,under18,2010,1855025
SD,under18,1997,205978
