region,ages,year,population
CA,total,2011,37668681
FL,total,2007,18367842
WV,total,2002,1805414
ND,total,2003,638817
KY,total,1993,3812206
USA,total,2008,304093966
OR,total,1994,3121264
DC,total,1995,580519
OH,total,1999,11335454
IA,total,1992,2818401
ND,total,1992,638223
FL,total,2006,18166990
AR,total,1992,2415984
WA,total,1996,5569753
NH,total,1994,1142561
NH,total,2008,1315906
KY,total,1997,3952747
MN,total,1999,4873481
KY,total,2006,4219239
WA,total,2003,6104115
AR,total,1999,2651860
MT,total,1992,825770
TN,total,2000,5703719
DE,total,1999,774990
MN,total,1998,4813412
OH,total,2000,11363543
DE,total,2008,883874
MA,total,2009,6517613
HI,total,1993,1172838
ND,total,1993,641216
MS,total,1991,2598733
GA,total,2003,8622793
UT,total,1996,2067976
ME,total,1992,1238508
KS,total,1995,2601008
DC,total,1991,600870
GA,total,1997,7685099
LA,total,1994,4347481
OK,total,2009,3717572
MT,total,2013,1015165
PA,total,2010,12710472
KS,total,2009,2832704
MD,under18,2008,1359214
KS,under18,1991,672033
FL,under18,2001,3714439
NM,under18,2003,500777
AK,under18,2013,188132
NV,under18,2002,552816
NC,under18,2009,2272955
MA,under18,1991,1375110
TN,under18,2001,1407578
ND,under18,2007,147263
NC,under18,2006,2166393
NY,under18,2000,4687374
CO,under18,2013,1237932
CT,under18,1992,777264
NC,under18,2002,2034451
FL,under18,1992,3120439
NV,under18,2010,663180
ND,under18,1992,172052
WA,under18,2003,1514877
KS,under18,1994,693673
NV,under18,1996,419133
IA,under18,2001,728601
MD,under18,2013,1344522
WV,under18,2003,392460
WV,under18,1996,422831
MS,under18,2001,768418
SD,under18,1991,201749
GA,under18,2003,2278710
TX,under18,1998,5759054
AZ,under18,2003,1453671
NY,under18,1990,4281643
GA,under18,2011,2488898
MD,under18,1994,1280772
WA,under18,2010,1581436
KY,under18,2007,1016288
NE,under18,1994,442589
NM,under18,2013,507540
MA,under18,2005,1464140
MO,under18,2011,1414444
WA,under18,2006,1536926
VA,under18,1995,1649005
WY,under18,2008,131511
OH,under18,1997,2897375
AR,under18,2007,702737
IL,under18,1992,3033427
MO,under18,1996,1408732
USA,under18,2003,73100758
WY,under18,2012,136526
TN,under18,1994,1310988
NE,under18,2000,450380
MD,under18,2005,1382966
WI,under18,2012,1316113
DC,under18,1993,120471
WA,under18,2004,1520751
PR,under18,1997,NaN
OH,under18,1992,2839356
DE,under18,2013,203558
UT,under18,1999,715398
