region,ages,year,population
LA,total,2001,4477875
DC,total,1993,595302
OK,total,2008,3668976
OK,total,2004,3525233
KY,total,2005,4182742
MT,total,2010,990527
ID,total,1993,1108768
NC,total,2000,8081614
SD,total,1999,750413
PA,total,2007,12563937
ND,total,2012,701345
MN,total,2009,5281203
AZ,total,1990,3684097
MT,total,2002,911667
MT,total,2012,1005494
KS,total,2013,2893957
OR,total,2007,3722417
RI,total,2008,1055003
AK,total,1996,608569
HI,total,2004,1273569
IA,total,2012,3075039
ME,total,1998,1259127
MA,total,2012,6645303
TX,total,2009,24801761
VT,total,2013,626630
CO,total,2004,4575013
IN,total,1996,5906013
VT,total,1993,577748
NC,total,2009,9449566
WV,total,1996,1822808
NV,total,1990,1220695
TX,total,2011,25640909
KS,total,2008,2808076
WI,total,2005,5546166
OK,total,2011,3785534
CT,total,2005,3506956
NC,total,2010,9559533
MO,under18,2005,1422978
CO,under18,1998,1060066
LA,under18,1992,1237034
NJ,under18,2006,2106403
MD,under18,2000,1356961
IL,under18,1991,2988715
NH,under18,1994,295563
TN,under18,1992,1259458
GA,under18,2006,2406014
IA,under18,2007,723632
IA,under18,2006,721703
IL,under18,1995,3152984
TN,under18,1998,1369987
NY,under18,1996,4667647
NY,under18,1993,4538171
ID,under18,2009,426076
ME,under18,1998,304496
PR,under18,1995,NaN
CT,under18,1993,790749
OH,under18,1993,2855785
UT,under18,1997,699528
NE,under18,2001,448307
NC,under18,1997,1861621
USA,under18,2012,73708179
IL,under18,2012,3057042
UT,under18,1996,687078
KS,under18,2000,713887
KS,under18,1995,694124
HI,under18,2002,293600
OH,under18,2003,2849573
NH,under18,1999,308423
WI,under18,1997,1359712
USA,under18,1995,69473140
MA,under18,1998,1491652
ND,under18,1998,165448
MO,under18,2001,1426575
CT,under18,2009,820839
AK,under18,2010,187902
RI,under18,2001,248296
KY,under18,2011,1021926
ND,under18,2013,162688
VT,under18,2008,132600
MA,under18,1993,1415724
IN,under18,1995,1507916
SC,under18,1992,947868
WI,under18,2002,1365315
NM,under18,2005,502612
MA,under18,1997,1478203
HI,under18,2009,302796
DC,under18,1998,113839
NH,under18,2010,285702
CO,under18,2003,1144597
PR,under18,2002,1065051
UT,under18,1992,648725
WA,under18,2005,1523890
SD,under18,2004,196804
NJ,under18,1993,1928623
MO,under18,2012,1405015
IL,under18,1998,3225252
SD,under18,2003,197326
DE,under18,2008,206116
SD,under18,1994,208443
VA,under18,2009,1845132
