region,ages,year,population
NJ,total,2006,8661679
FL,total,2003,17004085
AR,total,2010,2922280
OH,total,2006,11481213
MD,total,2000,5311034
NJ,total,2005,8651974
USA,total,1995,266278403
AZ,total,2007,6167681
MI,total,1998,9847942
CT,total,1992,3300712
NV,total,2005,2432143
IA,total,2013,3090416
WI,total,1998,5297673
OK,total,1999,3437148
IN,total,2006,6332669
WA,total,2004,6178645
USA,total,2013,316128839
WV,total,2009,1847775
OH,total,1995,11202751
TN,total,2010,6356683
UT,total,2005,2457719
ID,total,1997,1228520
GA,total,1999,8045965
MO,total,2013,6044171
IL,total,1990,11453316
OH,total,1993,11101140
AL,total,1994,4260229
MI,total,2011,9874589
CT,total,2010,3579210
AK,total,2005,666946
OR,total,1990,2860375
NJ,total,2009,8755602
CA,total,1999,33499204
MD,total,2006,5627367
MI,total,2006,10036081
RI,total,1997,1025353
MS,total,2000,2848353
NM,total,2007,1990070
MD,total,2012,5884868
KS,total,1993,2556547
LA,total,1993,4316428
KS,total,2010,2858910
CA,total,2008,36604337
NH,total,2012,1321617
MA,total,1999,6317345
PR,total,2012,3651545
ME,total,2013,1328302
KY,total,1995,3887427
PR,total,2003,3826095
WY,under18,1999,130793
ND,under18,2000,160477
PR,under18,1999,NaN
VT,under18,1999,147859
TX,under18,2010,6879014
MS,under18,1996,769680
IA,under18,1994,728397
WY,under18,1990,136078
WY,under18,2004,123974
NY,under18,2011,4294555
MI,under18,1991,2484957
KS,under18,1996,696298
AR,under18,1990,620933
RI,under18,1997,242079
MI,under18,2007,2470063
MA,under18,2010,1415962
MN,under18,1994,1238949
ME,under18,1994,311570
NV,under18,2000,516018
PR,under18,2007,973613
SD,under18,1990,199453
MD,under18,2010,1351983
CT,under18,1999,834654
NM,under18,1998,512801
NY,under18,1998,4652140
NE,under18,2003,447444
KS,under18,2004,705456
AZ,under18,2009,1627343
MA,under18,2011,1407240
OH,under18,2004,2836068
WI,under18,2009,1342411
MD,under18,1992,1235498
ND,under18,1993,172168
KS,under18,2011,726787
CT,under18,2013,785566
WY,under18,2006,125525
NE,under18,2012,462673
WA,under18,2013,1595795
ID,under18,2011,428535
MN,under18,1990,1176680
NV,under18,2011,659236
CA,under18,1991,8245605
NC,under18,1995,1785150
KS,under18,2012,726668
VT,under18,1995,151439
GA,under18,2005,2353604
MA,under18,2013,1393946
OK,under18,2010,931483
MS,under18,1991,738911
NJ,under18,1999,2066678
RI,under18,1994,239100
