region,ages,year,population
CA,total,1992,30974659
CA,total,2010,37333601
CA,total,1996,32018834
FL,total,2011,19083482
PA,total,1990,11903299
NM,total,2012,2083540
NV,total,1992,1351367
OK,total,2001,3467100
LA,total,1996,4398877
GA,total,2002,8508256
DC,total,2009,592228
WY,total,1993,473081
VA,total,1996,6750884
IA,total,1999,2917634
WV,total,2005,1820492
NY,total,1995,18524104
LA,total,1992,4293003
NJ,total,1992,7880508
DE,total,2004,830803
KY,total,2009,4317074
NV,total,2006,2522658
MI,total,2010,9876149
OK,total,2006,3594090
TN,total,1999,5638706
KY,total,2011,4366869
GA,total,1998,7863536
MT,total,2007,964706
GA,total,2008,9504843
DE,total,2009,891730
MI,total,2004,10055315
TN,total,1996,5416643
NM,total,1998,1793484
VT,total,2001,612223
NC,total,2005,8705407
PR,total,2010,3721208
NJ,total,1991,7814676
OR,total,1995,3184369
ID,total,1994,1145140
AZ,total,2000,5160586
NC,total,1996,7500670
HI,total,1998,1215233
IA,total,2005,2964454
CO,total,1996,3919972
ND,total,2000,642023
KY,total,1991,3722328
OK,total,1993,3252285
MO,total,2009,5961088
MS,total,1999,2828408
SD,total,2009,807067
TN,under18,2007,1482747
USA,under18,2002,72936457
IL,under18,2006,3181246
ME,under18,1991,309871
NH,under18,2000,310352
WV,under18,2008,390210
SC,under18,2010,1079978
NC,under18,2001,2003782
UT,under18,2005,767888
LA,under18,2006,1078779
DE,under18,2007,205155
NV,under18,2005,611595
WV,under18,1993,432364
DC,under18,2001,114625
FL,under18,1996,3431695
PA,under18,1993,2907351
HI,under18,1996,311213
OK,under18,2013,947027
WV,under18,1991,433918
MO,under18,1999,1428047
PA,under18,2000,2918850
NM,under18,1997,514500
WA,under18,2008,1560302
VT,under18,1997,150040
PA,under18,2013,2715645
GA,under18,2012,2487831
MI,under18,2009,2372603
KS,under18,2003,707847
MN,under18,2010,1282693
MT,under18,2009,223675
UT,under18,2010,873019
MO,under18,1992,1349729
KS,under18,1997,704001
VT,under18,1992,146983
NM,under18,2009,515470
NC,under18,1993,1710267
NM,under18,1996,508100
SD,under18,1999,203737
ID,under18,1993,333838
AL,under18,2009,1134192
LA,under18,1996,1244627
MN,under18,2002,1288795
NV,under18,1992,337396
NC,under18,1994,1750754
MO,under18,2002,1424513
AR,under18,1993,643474
MN,under18,2008,1284179
PA,under18,1994,2932851
CT,under18,1997,814373
KS,under18,2009,721841
AR,under18,1992,638269
