region,ages,year,population
GA,total,2001,8377038
IN,total,1993,5739019
AL,total,2004,4530729
NE,total,2002,1728292
VA,total,2010,8024417
NE,total,2005,1761497
PR,total,2001,3818774
SC,total,1990,3501155
CO,total,2010,5048196
NM,total,1992,1595442
MS,total,2006,2904978
SC,total,2008,4528996
CO,total,1990,3307618
USA,total,2007,301231207
AR,total,2013,2959373
MT,total,1995,876553
OH,total,1992,11029431
AZ,total,1992,3915740
AL,total,1992,4154014
TN,total,2004,5910809
VT,total,2006,622892
UT,total,1997,2119784
DE,total,2007,871749
UT,total,2009,2723421
CT,total,2012,3591765
MA,total,1992,6028709
PA,total,1999,12263805
UT,total,1993,1898404
LA,total,2011,4575197
NJ,total,2001,8492671
MO,total,1991,5170800
ND,total,1990,637685
KY,total,2008,4289878
DE,total,1990,669567
AK,total,1997,612968
WI,total,2012,5724554
WV,total,2010,1854146
NM,total,1995,1720394
OK,total,2013,3850568
CT,total,1994,3316121
NY,total,2003,19175939
IA,total,2011,3064102
IL,total,1998,12271847
MN,total,1990,4389857
MS,total,2013,2991207
MA,total,2002,6417206
TX,total,1990,17056755
NM,total,2011,2077919
DC,total,1997,567739
NY,total,1990,18020784
VA,total,2001,7198362
WA,total,2010,6742256
MD,total,1999,5254509
VA,under18,1997,1683766
NC,under18,1992,1674144
PA,under18,1996,2937411
NJ,under18,1990,1818187
MA,under18,2004,1479541
KY,under18,2008,1022001
MT,under18,2007,223135
AK,under18,1999,191422
AR,under18,1998,683637
DE,under18,2010,205478
KS,under18,2013,724092
RI,under18,2013,213987
MN,under18,2006,1282381
TX,under18,2011,6931758
OR,under18,1991,752442
OH,under18,2002,2865674
TX,under18,2000,5906301
OR,under18,1992,770191
KY,under18,2005,1004020
MA,under18,2000,1501334
WV,under18,2002,393569
WY,under18,2003,124182
ME,under18,2011,268737
NH,under18,2002,312743
OH,under18,2013,2649830
AZ,under18,2006,1574867
NM,under18,2000,508132
KY,under18,2010,1023679
NH,under18,2005,307403
MO,under18,2008,1428945
ME,under18,2010,273061
AL,under18,1994,1097180
RI,under18,2006,237348
RI,under18,2011,219783
MS,under18,1998,773721
ND,under18,2005,148119
NY,under18,2002,4652232
CA,under18,1993,8624810
NJ,under18,2010,2062013
HI,under18,2011,305396
WY,under18,2009,134960
MS,under18,2010,754111
MD,under18,1997,1321306
CT,under18,2011,805109
UT,under18,1994,673935
TN,under18,2006,1470166
SC,under18,2011,1076524
