region,ages,year,population
MI,total,2007,10001284
SC,under18,1997,1001681
MI,total,2006,10036081
KY,under18,2005,1004020
SC,under18,2000,1010641
KY,under18,2012,1017350
KY,under18,2009,1021710
KY,under18,2008,1022001
KY,under18,2010,1023679
RI,total,1997,1025353
CO,under18,1997,1030557
DC,under18,2011,103906
RI,total,1999,1040402
RI,total,2010,1052669
RI,total,2001,1057142
ID,total,1992,1071685
SC,under18,2011,1076524
CO,under18,1999,1083938
AL,under18,1993,1085606
LA,under18,2007,1096642
AL,under18,1994,1097180
OH,total,1992,11029431
CO,under18,2000,1106676
LA,under18,2008,1108728
OH,total,1993,11101140
LA,under18,2013,1112957
HI,total,1990,1113491
AL,under18,2002,1116590
OH,total,1995,11202751
AL,under18,2011,1125763
AL,under18,2006,1126798
NH,total,1993,1129458
AL,under18,2007,1132296
IL,total,1990,11453316
CO,under18,2004,1146369
OH,total,2006,11481213
OH,total,2013,11570808
IL,total,1992,11694184
MN,under18,1990,1176680
IL,total,1993,11809579
ID,total,1996,1203083
LA,under18,1990,1205984
LA,under18,2000,1217670
TN,under18,1990,1220200
PA,total,1999,12263805
IL,total,1998,12271847
ID,total,1997,1228520
CO,under18,2012,1232864
TN,under18,1991,1233260
MD,under18,1992,1235498
DC,under18,1995,123620
MN,under18,1994,1238949
WY,under18,2004,123974
WY,under18,2003,124182
ME,total,1993,1242302
MN,under18,1995,1245932
LA,under18,1994,1247631
ME,total,1996,1249060
HI,total,2003,1251154
WY,under18,2006,125525
MN,under18,1997,1264250
IL,total,2006,12643955
PA,total,2009,12666858
PA,total,2011,12741310
ID,total,1999,1275674
PA,total,2012,12764475
PA,total,2013,12773801
IL,total,2009,12796778
NH,total,2003,1279840
MN,under18,2006,1282381
IL,total,2011,12855970
WY,under18,2007,128760
NH,total,2004,1290121
HI,total,2005,1292729
WY,under18,1999,130793
HI,total,2007,1315675
NH,total,2010,1316614
MD,under18,1997,1321306
NH,total,2012,1321617
WI,under18,2011,1325870
ME,total,2011,1327844
ME,total,2013,1328302
MO,under18,1991,1332306
AZ,under18,1999,1332396
WI,under18,2009,1342411
WY,under18,1997,134328
WI,under18,2006,1348785
WY,under18,2009,134960
MD,under18,2010,1351983
MD,under18,2009,1353631
MA,under18,1990,1353806
WY,under18,1990,136078
WI,under18,1998,1362907
WA,under18,1992,1365480
AZ,under18,2000,1373414
MD,under18,2002,1375354
VT,under18,2005,138933
MA,under18,1992,1390188
MA,under18,2013,1393946
HI,total,2013,1404054
MA,under18,2011,1407240
MA,under18,2010,1415962
MO,under18,2003,1421927
TN,under18,2003,1424861
VT,under18,2003,142718
MO,under18,2008,1428945
FL,total,1995,14537875
VT,under18,2001,146040
MA,under18,1996,1468614
TN,under18,2006,1470166
WA,under18,1997,1473646
ND,under18,2008,147462
VT,under18,1999,147859
MA,under18,2004,1479541
ND,under18,2005,148119
VT,under18,1993,148705
TN,under18,2009,1494687
WA,under18,1998,1494784
TN,under18,2010,1495090
MA,under18,2000,1501334
ND,under18,2010,150179
MA,under18,2001,1505028
VT,under18,1995,151439
ID,total,2008,1534320
ND,under18,2001,156113
IN,under18,1999,1566079
AZ,under18,2006,1574867
IN,under18,2000,1574989
IN,under18,2001,1579527
WA,under18,2011,1584709
NM,total,1992,1595442
WA,under18,2013,1595795
FL,total,2000,16047515
VA,under18,1993,1604758
ND,under18,2000,160477
IN,under18,2007,1609494
AZ,under18,2013,1616814
AZ,under18,2012,1617149
AZ,under18,2009,1627343
AZ,under18,2008,1628651
NE,total,1994,1639041
NC,under18,1992,1674144
ND,under18,1997,167475
VA,under18,1997,1683766
NE,total,1998,1695817
FL,total,2003,17004085
TX,total,1990,17056755
ND,under18,1991,171730
NM,total,1995,1720394
ND,under18,1993,172168
NE,total,2002,1728292
NM,total,1996,1752326
NE,total,2005,1761497
NV,total,1997,1764104
VA,under18,2002,1771247
TX,total,1992,17759738
NC,under18,1995,1785150
NE,total,2008,1796378
NY,total,1990,18020784
NJ,under18,1990,1818187
AK,under18,1991,182180
AK,under18,2007,184344
WV,total,2009,1847775
WV,total,2010,1854146
NE,total,2012,1855350
WV,total,2012,1856680
VA,under18,2013,1864535
NJ,under18,1992,1890108
TX,total,1995,18958751
UT,total,1993,1898404
NM,total,2004,1903808
AK,under18,2000,190615
AK,under18,1999,191422
NY,total,2004,19171567
NY,total,2003,19175939
DE,under18,2000,194914
NY,total,2012,19576125
SD,under18,2005,196476
NM,total,2007,1990070
SD,under18,1990,199453
SD,under18,2008,199848
NJ,under18,1996,2016502
SD,under18,1998,204786
DE,under18,2010,205478
NJ,under18,2010,2062013
NJ,under18,1999,2066678
NJ,under18,2008,2076366
NM,total,2011,2077919
SD,under18,1995,207890
NJ,under18,2001,2102838
UT,total,1997,2119784
NJ,under18,2005,2121878
NJ,under18,2004,2129051
RI,under18,2013,213987
RI,under18,2011,219783
TX,total,2003,22030931
UT,total,1999,2203482
GA,under18,2001,2215390
RI,under18,2010,223088
MT,under18,2007,223135
MT,under18,1991,225259
MI,under18,2012,2269365
UT,total,2001,2283715
NC,under18,2012,2284122
TX,total,2006,23359580
GA,under18,2005,2353604
RI,under18,1993,237218
RI,under18,2006,237348
RI,under18,1994,239100
RI,under18,1997,242079
NV,total,2005,2432143
AR,total,1993,2456303
UT,total,2005,2457719
MI,under18,2007,2470063
MI,under18,1991,2484957
GA,under18,2009,2485781
GA,under18,2010,2490884
USA,total,1990,249622814
MI,under18,1992,2501765
KS,total,1992,2532395
KS,total,1993,2556547
MI,under18,2003,2569080
MI,under18,2002,2584310
OH,under18,2013,2649830
USA,total,1995,266278403
ME,under18,2011,268737
KS,total,2001,2702162
NH,under18,2013,271122
KS,total,2003,2723004
UT,total,2009,2723421
ME,under18,2010,273061
KS,total,2005,2745299
MS,total,1996,2748085
UT,total,2010,2774424
KS,total,2007,2783785
UT,total,2011,2814784
PA,under18,2008,2821004
OH,under18,2004,2836068
MS,total,2000,2848353
USA,total,2001,284968955
KS,total,2010,2858910
OR,total,1990,2860375
OH,under18,2002,2865674
KS,total,2011,2869548
HI,under18,1991,287871
OH,under18,1996,2883443
USA,total,2003,290107933
MS,total,2006,2904978
AR,total,2010,2922280
MS,total,2007,2928350
IA,total,2002,2934234
PA,under18,1996,2937411
HI,under18,2001,294133
AR,total,2013,2959373
ME,under18,2003,296786
MS,total,2011,2977886
MS,total,2013,2991207
HI,under18,2006,299313
NH,under18,1996,300161
USA,total,2007,301231207
IL,under18,2013,3023307
NH,under18,1997,302834
HI,under18,2011,305396
IA,total,2011,3064102
NH,under18,2005,307403
IA,total,2013,3090416
HI,under18,1997,309465
ME,under18,1994,311570
NH,under18,2002,312743
USA,total,2012,313873685
CA,total,1994,31484435
OK,total,1990,3148825
USA,total,2013,316128839
NV,under18,1990,316406
IL,under18,2001,3243617
IL,under18,2000,3244944
CT,total,1992,3300712
CO,total,1990,3307618
CT,total,1994,3316121
CT,total,1995,3324144
OK,total,1996,3340129
CT,total,1997,3349348
CA,total,1999,33499204
OK,total,1999,3437148
CT,total,2003,3484336
OK,total,2002,3489080
SC,total,1990,3501155
CT,total,2009,3561807
OR,total,2004,3569463
CT,total,2010,3579210
CT,total,2012,3591765
OR,total,2005,3613202
PR,total,2012,3651545
CA,total,2008,36604337
ID,under18,1999,366689
SC,total,1995,3748582
CA,total,2012,37999878
PR,total,2006,3805214
PR,total,2001,3818774
PR,total,2003,3826095
OK,total,2013,3850568
KY,total,1995,3887427
FL,under18,2004,3890734
WV,under18,2007,390661
AZ,total,1992,3915740
SC,total,1998,3919235
WV,under18,2002,393569
NV,under18,1995,396223
FL,under18,2006,4022912
FL,under18,2007,4031098
SC,total,2001,4064995
AL,total,1992,4154014
CO,total,1999,4226018
AL,total,1994,4260229
NY,under18,2012,4264694
ID,under18,2011,428535
KY,total,2008,4289878
NY,under18,2011,4294555
NE,under18,1990,430068
LA,total,1993,4316428
CO,total,2000,4326921
AL,total,1996,4331103
NE,under18,1991,434525
MN,total,1990,4389857
NE,under18,1993,439313
AL,total,2001,4467634
LA,total,2000,4471885
NE,under18,2003,447444
SC,total,2008,4528996
AL,total,2004,4530729
LA,total,2010,4545392
AL,total,2005,4569805
LA,total,2011,4575197
WY,total,1991,459260
NE,under18,2012,462673
NY,under18,1998,4652140
NY,under18,2002,4652232
NV,under18,1998,469424
MN,total,1996,4712827
AZ,total,1997,4736990
WY,total,1995,485160
WY,total,1996,488167
WY,total,1998,490787
MD,total,1992,4923369
WI,total,1992,5025398
WY,total,2003,503453
CO,total,2010,5048196
NM,under18,2000,508132
WI,total,1993,5084889
NM,under18,2007,508725
MN,total,2004,5087713
TX,under18,1992,5109805
NM,under18,1999,511135
NM,under18,1998,512801
MO,total,1990,5128880
NV,under18,2000,516018
MO,total,1991,5170800
CO,total,2012,5189458
MN,total,2007,5207203
TX,under18,1993,5217899
MD,total,1999,5254509
WI,total,1998,5297673
MD,total,2000,5311034
MD,total,2001,5374691
AZ,total,2002,5396255
WI,total,2003,5479203
MO,total,1997,5481193
MO,total,1998,5521765
TX,under18,1996,5551447
WI,total,2006,5577655
MD,total,2005,5592379
MD,total,2006,5627367
TX,under18,1997,5655482
DC,total,1997,567739
VT,total,1991,568606
DC,total,1999,570220
WI,total,2011,5708785
WI,total,2012,5724554
IN,total,1993,5739019
DC,total,2001,574504
TN,total,2001,5750789
AZ,total,2005,5839077
WA,total,1999,5842564
IN,total,1995,5851459
MD,total,2012,5884868
TX,under18,2000,5906301
TN,total,2004,5910809
MO,total,2008,5923916
IN,total,1997,5955267
TN,total,2005,5991057
MA,total,1992,6028709
AK,total,1995,604412
MO,total,2013,6044171
TN,total,2006,6088766
IN,total,2000,6091866
AK,total,1997,612968
AZ,total,2007,6167681
WA,total,2004,6178645
VT,total,2004,619920
AR,under18,1990,620933
VT,total,2006,622892
VT,total,2008,624151
TN,total,2008,6247411
VT,total,2012,625953
UT,under18,1990,627122
TX,under18,2005,6290970
TN,total,2009,6306019
MA,total,1999,6317345
IN,total,2006,6332669
TN,total,2010,6356683
ND,total,1990,637685
IN,total,2007,6379599
MA,total,2001,6397634
AZ,total,2010,6408790
MA,total,2002,6417206
USA,under18,1990,64218512
AK,total,2002,642337
ND,total,1999,644259
WA,total,2007,6461587
MA,total,2008,6468967
ND,total,1995,647832
ND,total,2007,652822
AR,under18,1994,653842
TX,under18,2007,6565872
NV,under18,2011,659236
AK,total,2004,659286
MA,total,2011,6606285
KS,under18,1990,662641
ND,total,2009,664968
AK,total,2005,666946
TX,under18,2008,6675917
DE,total,1990,669567
UT,under18,1994,673935
WA,total,2010,6742256
ND,total,2010,674344
WA,total,2011,6821481
AR,under18,1998,683637
TX,under18,2010,6879014
AR,under18,2005,689787
TX,under18,2011,6931758
DE,total,1992,694927
KS,under18,1996,696298
KS,under18,2004,705456
AR,under18,2009,707886
KS,under18,1999,713022
AK,total,2010,713868
IA,under18,1990,719366
VA,total,2001,7198362
KS,under18,2013,724092
KS,under18,2012,726668
KS,under18,2011,726787
IA,under18,1995,726961
IA,under18,2009,726969
KS,under18,2010,727729
IA,under18,1994,728397
VA,total,2002,7286873
IA,under18,1997,729806
AK,total,2012,730307
USA,under18,2005,73523669
MS,under18,2013,737432
SD,total,1995,737926
MS,under18,1991,738911
USA,under18,2007,74019405
DE,total,1996,740978
USA,under18,2008,74104602
OR,under18,1990,742436
MS,under18,2012,742941
SD,total,1997,744223
DE,total,1997,751487
OR,under18,1991,752442
MS,under18,2010,754111
MS,under18,2009,758539
MS,under18,2008,760572
MS,under18,2007,761171
CT,under18,1991,766304
VA,total,2006,7673725
MS,under18,1996,769680
OR,under18,1992,770191
MS,under18,1998,773721
MS,under18,2000,774353
SD,total,2005,775493
NC,total,1998,7809122
VA,total,2008,7833496
CT,under18,2013,785566
DE,total,2000,786373
UT,under18,2006,789957
VA,total,2010,8024417
GA,total,1999,8045965
CT,under18,2011,805109
DE,total,2002,806169
PR,under18,2013,814068
UT,under18,2007,815496
CA,under18,1991,8245605
CT,under18,2007,833484
CT,under18,1999,834654
UT,under18,2008,837258
GA,total,2001,8377038
NC,total,2003,8422501
DE,total,2005,845150
NJ,total,2001,8492671
OR,under18,2012,859910
NJ,total,2003,8601402
CA,under18,1993,8624810
OR,under18,2011,862518
NJ,total,2004,8634561
NJ,total,2005,8651974
NJ,total,2006,8661679
OR,under18,2009,866194
PR,under18,2011,869327
OK,under18,1993,870137
NJ,total,2008,8711090
DE,total,2007,871749
NJ,total,2009,8755602
MT,total,1995,876553
OK,under18,1994,877803
CA,under18,1994,8790058
NJ,total,2010,8802707
OK,under18,2004,881606
NJ,total,2013,8899339
MT,total,1998,892431
DE,total,2010,899711
MT,total,2000,903773
GA,total,2006,9155813
CA,under18,2013,9174877
CA,under18,1999,9207878
CA,under18,2009,9294501
MT,total,2004,930009
MI,total,1990,9311319
OK,under18,2010,931483
OK,under18,2012,939911
KY,under18,1990,945951
MI,total,1993,9540114
SC,under18,1994,969766
KY,under18,1993,971134
PR,under18,2007,973613
MI,total,1996,9758645
MI,total,1998,9847942
MI,total,2011,9874589
MI,total,2012,9882519
KY,under18,2001,994105
PR,under18,2006,998543
PR,total,1992,NaN
PR,under18,1999,NaN
PR,under18,1992,NaN
