region,ages,year,population
AZ,total,1999,5023823
DE,total,2012,917053
ID,total,1990,1012384
HI,total,1997,1211640
DE,total,1993,706378
OK,total,1998,3405194
ID,total,2002,1340372
KS,total,1990,2481349
PR,total,2009,3740410
VT,total,2003,617858
RI,total,1994,1015960
SC,total,2000,4024223
WA,total,2002,6052349
OH,total,1997,11277357
OK,total,1995,3308208
NC,total,1992,6897214
KS,total,2004,2734373
AK,total,2006,675302
USA,total,2005,295516599
ME,total,1994,1242662
MI,total,1997,9809051
NV,total,1998,1853192
VA,total,1997,6829183
CO,total,2013,5268367
OH,total,2005,11463320
MS,total,2012,2986450
IL,total,1991,11568964
MI,total,1992,9479065
NJ,total,1996,8149596
AR,total,2012,2949828
DC,total,2011,619624
AL,total,1997,4367935
USA,total,1993,259918595
VT,total,1994,583836
NH,total,2013,1323459
KS,total,1996,2614554
VT,total,1996,593701
AZ,total,1998,4883342
KY,total,2012,4379730
MI,total,2002,10015710
WI,total,2002,5445162
AR,total,1997,2601091
AR,total,2009,2896843
ND,total,2004,644705
FL,total,1990,13033307
KY,total,2004,4146101
NY,total,2007,19132335
NM,total,1999,1808082
NC,total,1995,7344674
VA,total,2012,8186628
NM,total,1994,1682398
RI,total,1992,1012581
NC,total,2006,8917270
NE,total,2000,1713820
AK,under18,1997,188280
ME,under18,2013,261276
NE,under18,2008,453787
CA,under18,2000,9267089
DC,under18,1992,118636
ME,under18,2007,286185
AZ,under18,2010,1628563
DC,under18,1991,116825
MN,under18,2009,1284103
KS,under18,2002,709416
USA,under18,2013,73585872
SD,under18,2000,202681
MO,under18,2004,1420956
TN,under18,2012,1492689
NH,under18,1993,290409
OR,under18,2004,846786
OH,under18,2000,2886585
KY,under18,2002,995251
CO,under18,1992,925577
NH,under18,2008,296029
OH,under18,2001,2878123
SC,under18,2002,1020531
MN,under18,2003,1283687
ND,under18,2012,156765
VT,under18,2011,126500
AK,under18,1994,187439
MT,under18,2008,223814
NV,under18,1991,325033
TX,under18,2002,6060372
LA,under18,2011,1116579
NJ,under18,2003,2126014
MS,under18,2005,760870
PA,under18,1999,2930193
RI,under18,2008,229798
CT,under18,1996,811855
TN,under18,2002,1414857
MS,under18,2002,763148
AK,under18,2011,188329
PR,under18,1993,NaN
KY,under18,2006,1011295
PA,under18,2012,2737905
SC,under18,1998,1006371
WA,under18,1993,1387716
MD,under18,1998,1338727
SD,under18,2013,207959
AR,under18,2006,697842
