region,ages,year,population
MO,total,1998,5521765
AZ,total,2010,6408790
ME,total,1993,1242302
MI,total,2007,10001284
TX,total,2003,22030931
WY,total,1995,485160
VA,total,2006,7673725
AZ,total,1997,4736990
PR,total,1992,NaN
ID,total,1992,1071685
MA,total,2008,6468967
KS,total,2003,2723004
VA,total,2002,7286873
NJ,total,2008,8711090
HI,total,2003,1251154
NJ,total,2003,8601402
MA,total,2001,6397634
SC,total,1998,3919235
NC,total,1998,7809122
MT,total,2000,903773
KS,total,2001,2702162
AZ,total,2005,5839077
CT,total,2009,3561807
MN,total,2007,5207203
VT,total,2008,624151
MA,total,2011,6606285
TN,total,2006,6088766
HI,total,1990,1113491
MD,total,1992,4923369
IL,total,2011,12855970
ID,total,1999,1275674
HI,total,2013,1404054
IL,total,2009,12796778
NH,total,1993,1129458
DE,total,2010,899711
NM,total,2004,1903808
NE,total,2012,1855350
TX,total,2006,23359580
ME,total,2011,1327844
OR,total,2004,3569463
PA,total,2013,12773801
WI,total,1993,5084889
WY,total,1991,459260
OR,total,2005,3613202
UT,total,2010,2774424
NE,total,2008,1796378
DC,total,1999,570220
WA,total,1999,5842564
MO,total,1997,5481193
IL,total,1992,11694184
PR,total,2006,3805214
AZ,total,2002,5396255
USA,under18,1990,64218512
LA,under18,2000,1217670
AL,under18,2011,1125763
RI,under18,1993,237218
TN,under18,2003,1424861
AZ,under18,2012,1617149
OR,under18,2009,866194
CA,under18,2013,9174877
OK,under18,1994,877803
TX,under18,1992,5109805
UT,under18,2006,789957
IN,under18,2001,1579527
NJ,under18,1992,1890108
KS,under18,1990,662641
NM,under18,2007,508725
OR,under18,2011,862518
AR,under18,1994,653842
RI,under18,2010,223088
PR,under18,2006,998543
WI,under18,2006,1348785
WI,under18,1998,1362907
FL,under18,2006,4022912
MS,under18,2007,761171
MI,under18,2002,2584310
CO,under18,1997,1030557
VA,under18,2002,1771247
SD,under18,2005,196476
VT,under18,2003,142718
NY,under18,2012,4264694
SD,under18,1998,204786
NC,under18,2012,2284122
OK,under18,2012,939911
HI,under18,1997,309465
MI,under18,1992,2501765
KY,under18,2012,1017350
NJ,under18,2005,2121878
MD,under18,2002,1375354
NE,under18,1991,434525
IL,under18,2000,3244944
SC,under18,2000,1010641
MD,under18,2009,1353631
UT,under18,2007,815496
AR,under18,2005,689787
AR,under18,2009,707886
IA,under18,1997,729806
AL,under18,2002,1116590
MT,under18,1991,225259
MS,under18,2008,760572
