region,ages,year,population
GA,total,2011,9810181
DC,total,2004,567754
DE,total,1991,683080
KY,total,2000,4049021
SC,total,2003,4150297
NY,total,2001,19082838
AL,total,2003,4503491
NH,total,2001,1255517
OK,total,2010,3759263
RI,total,2011,1050350
MN,total,2011,5347108
IN,total,2011,6516336
NY,total,1999,18882725
MN,total,2002,5018935
RI,total,2000,1050268
VA,total,2009,7925937
CA,total,2009,36961229
IL,total,1997,12185715
FL,total,2009,18652644
NJ,total,2011,8836639
NE,total,2007,1783440
NE,total,1995,1656993
AZ,total,2004,5652404
CT,total,2004,3496094
MO,total,2005,5790300
MD,total,1997,5157328
NM,total,1993,1636453
NC,total,2012,9748364
WA,total,2000,5910512
ID,total,2004,1391802
WA,total,2006,6370753
IL,total,2001,12488445
MI,total,2005,10051137
SC,total,2010,4636361
MO,total,1992,5217101
NH,total,2002,1269089
USA,total,1996,269394291
USA,total,2004,292805298
ME,total,1991,1237081
CT,total,1990,3291967
DC,total,2003,568502
VA,total,1991,6301217
MT,total,2011,997600
UT,total,2012,2854871
CO,total,1995,3826653
IN,total,2005,6278616
VT,total,1995,589003
ND,total,2005,646089
MN,total,1994,4610355
MT,total,2003,919630
USA,total,2000,282162411
MI,under18,1993,2522249
DE,under18,2005,201988
KY,under18,2004,998459
RI,under18,1990,225923
CA,under18,2001,9325466
RI,under18,2002,248690
VA,under18,1991,1548258
ND,under18,2002,153097
ME,under18,2005,292039
OH,under18,2010,2722589
MS,under18,1990,733660
CA,under18,2008,9321621
GA,under18,1997,2034163
CA,under18,2010,9284094
MI,under18,2010,2333121
AZ,under18,1992,1055572
ND,under18,2006,147331
MN,under18,2013,1279111
NV,under18,2006,634403
UT,under18,2003,740483
NY,under18,1999,4672587
IN,under18,1997,1539270
PA,under18,1995,2941531
UT,under18,2002,733517
NJ,under18,1997,2028349
HI,under18,1995,310325
VT,under18,2002,144441
AL,under18,1997,1122893
GA,under18,2004,2308855
CA,under18,1990,7980501
WA,under18,1996,1449613
CT,under18,2005,844034
PR,under18,2000,1089063
MA,under18,1999,1495818
MO,under18,1994,1378700
DC,under18,2012,107642
OH,under18,2006,2804828
NM,under18,1994,497542
AK,under18,2002,188482
NC,under18,1998,1894753
KY,under18,1994,981439
CT,under18,1990,752666
ME,under18,2004,294791
FL,under18,1994,3299887
ND,under18,2011,152357
CT,under18,2002,848877
LA,under18,1997,1239665
VA,under18,2012,1861323
TN,under18,2013,1491577
